id,category,title,description
1,Social,City Marathon,"10000 citizens gather in the streets this weekend for the annual city marathon."
2,Social,Music Festival,"A three-day outdoor music festival kicks off downtown. Thousands of attendees camp side by side."
3,Social,School Sports Day,"Every school in the city holds its annual sports day. Hundreds of children compete in close contact."
4,Social,Christmas Market,"The city's beloved Christmas market opens. Crowded stalls and shared food attract thousands daily."
5,Social,City Parade,"The annual cultural parade draws massive crowds lining the streets for hours."
6,Social,Football Final,"The local team reaches the national final. Fans pack the stadium and bars across the city."
7,Social,University Exam Period,"Thousands of stressed students crowd libraries, cafeterias and study halls around the clock."
8,Social,Refugee Shelter Overcrowding,"The city's main refugee shelter reports severe overcrowding. Staff are struggling to maintain hygiene."
9,Political,Emergency Budget Meeting,"The city council convenes an emergency meeting. Citizens demand funding for hospitals — but the budget is tight."
10,Political,Election Campaign Rally,"A mayoral candidate hosts a massive rally downtown. Thousands attend despite rising infection numbers."
11,Political,City Lockdown Debate,"The council must decide whether to shut down the entire city. Businesses, schools and citizens await the decision."
12,Political,Press Conference,"Journalists demand answers about the rising hospital admissions. The public is watching closely."
13,Political,School Closure Debate,"Parents and teachers clash at city hall over whether schools should close. Protests erupt outside."
14,Political,Border Control Vote,"The council votes on whether to restrict travel in and out of the city. Businesses push back hard."
15,Political,Public Health Law,"A controversial new health law requiring citizen data collection is up for vote. Privacy groups protest."
16,Political,Opposition Leak,"A leaked internal report suggesting the situation is worse than announced causes public panic."
17,Medical,Hospital at Capacity,"The city hospital reports it can no longer admit new patients. Doctors work around the clock with no relief in sight."
18,Medical,Vaccination Campaign,"The city launches a mass vaccination campaign. But supply is limited and queues stretch around the block."
19,Medical,Laboratory Contamination,"The main research lab reports a contamination incident. All ongoing disease analysis must halt immediately."
20,Medical,Mystery Cluster,"A new cluster of severely ill patients appears in the eastern district. No obvious connection between them has been found."
21,Medical,Medical Supply Shortage,"Hospitals report critical shortages of masks, gloves and medicine. Emergency procurement is underway."
22,Medical,Ambulance Strike,"Overworked ambulance staff go on strike. Emergency response times triple across the city."
23,Medical,Nursing Home Outbreak,"A severe outbreak is reported at the city's largest nursing home. The most vulnerable citizens are at risk."
24,Medical,Field Hospital Setup,"Authorities propose setting up a temporary field hospital in the city park. Residents nearby object loudly."
